url_length,hostname_length,path_length,count_hyphens,count_dots,count_at,count_questionmark,count_equals,count_slashes,count_digits,has_ip,has_https,is_shortened
57,16,22,0,2,0,1,1,5,1,0,1,0
128,50,20,1,4,0,1,3,5,16,0,1,0
56,29,20,2,2,0,0,0,4,3,0,0,0
64,17,40,1,3,0,0,0,8,0,0,0,0
51,21,23,0,2,0,0,0,6,3,0,0,0
29,20,1,0,2,0,0,0,3,0,0,1,0
54,27,19,2,2,0,0,0,4,0,0,1,0
289,33,64,1,3,0,1,4,9,67,0,1,1
47,13,27,0,2,0,0,0,6,0,0,0,0
25,16,1,0,2,0,0,0,3,0,0,1,1
59,18,34,0,2,0,0,0,4,23,0,0,0
25,16,1,0,2,0,0,0,3,0,0,1,0
74,23,43,2,3,0,0,0,4,0,0,1,0
33,15,11,0,3,0,0,0,3,0,0,0,0
33,15,11,0,1,0,0,0,4,0,0,0,0
24,16,1,0,2,0,0,0,3,0,0,0,0
31,23,1,0,2,0,0,0,3,0,0,0,1
37,20,10,0,3,0,0,0,4,0,0,0,0
94,21,65,1,2,0,0,0,10,0,0,1,0
250,47,48,3,6,0,1,0,4,11,0,0,0
63,16,40,0,2,0,0,1,6,0,0,0,0
50,16,26,0,2,0,0,0,4,4,0,1,0
46,16,22,0,2,0,0,0,4,0,0,1,0
35,27,1,0,4,0,0,0,3,0,0,0,0
92,17,67,9,1,0,0,0,5,7,0,1,0
50,15,28,6,2,0,0,0,3,0,0,0,0
26,17,1,0,2,0,0,0,3,3,0,1,0
23,14,1,0,2,0,0,0,3,0,0,1,0
42,16,18,0,2,0,0,0,5,0,0,1,0
77,17,52,0,2,0,0,0,4,3,0,1,0
219,13,91,2,1,0,1,3,12,48,0,1,0
99,16,76,0,2,0,0,1,6,0,0,0,0
52,44,1,2,5,0,0,0,3,0,0,0,1
31,22,1,0,2,0,0,0,3,0,0,1,0
45,24,14,1,3,0,0,0,3,0,0,0,0
68,42,19,0,4,0,0,0,4,15,0,0,0
47,15,25,0,3,0,0,0,5,0,0,0,0
24,10,6,0,1,0,0,0,3,1,0,1,0
15,4,4,0,1,0,0,0,3,2,0,0,0
45,19,18,1,3,0,0,0,4,0,0,1,0
37,28,1,0,3,0,0,0,3,0,0,1,1
35,27,1,1,2,0,0,0,3,1,0,0,0
49,11,31,3,2,0,0,0,3,0,0,0,0
21,6,8,0,1,0,0,0,3,3,0,0,1
119,15,97,8,3,0,0,0,6,14,0,0,0
35,11,17,2,2,0,0,0,3,0,0,0,0
282,30,60,1,3,0,1,4,7,59,0,1,1
38,13,1,0,1,0,1,1,3,5,0,1,0
25,18,0,0,2,0,0,0,2,0,0,0,0
78,15,56,2,4,0,0,0,7,0,0,0,0
25,11,7,0,2,0,0,0,4,0,0,0,0
41,11,23,0,2,0,0,0,5,0,0,0,0
53,45,1,2,5,0,0,0,3,5,0,0,1
15,4,4,0,1,0,0,0,3,1,0,0,0
63,27,29,1,2,0,0,0,4,10,0,0,0
51,15,28,0,2,0,0,0,4,2,0,1,0
69,35,26,1,5,1,0,0,3,13,0,1,1
22,14,1,0,2,0,0,0,3,0,0,0,0
54,46,1,0,4,0,0,0,3,11,0,0,1
31,24,0,0,2,0,0,0,2,0,0,0,0
28,19,1,1,2,0,0,0,3,0,0,1,0
65,24,34,0,3,0,0,0,4,0,0,0,0
42,17,18,0,2,0,0,0,4,0,0,0,0
22,15,0,0,2,0,0,0,2,0,0,0,0
72,28,36,1,3,0,0,0,7,3,0,1,0
104,28,69,1,4,0,0,0,6,23,0,0,0
31,24,0,0,2,0,0,0,2,1,0,0,1
26,17,1,0,2,0,0,0,3,0,0,1,0
88,22,58,1,4,0,0,0,10,14,0,1,1
26,17,1,0,2,0,0,0,3,0,0,1,0
35,12,16,0,2,0,0,0,4,0,0,0,0
58,11,40,0,3,0,0,0,6,0,0,0,0
113,87,19,0,14,0,0,0,4,32,0,0,0
41,16,18,1,3,0,0,0,5,0,0,0,0
66,38,21,2,5,0,0,0,3,6,0,0,1
37,18,12,0,4,0,0,0,4,0,0,0,0
52,25,20,3,3,0,0,0,3,0,0,0,0
37,17,12,0,1,0,0,0,4,0,0,1,0
23,16,0,0,1,0,0,0,2,0,0,0,0
51,42,1,4,2,0,0,0,3,15,0,1,1
21,7,6,0,1,0,0,0,3,1,0,1,0
45,36,1,4,2,0,0,0,3,0,0,1,0
35,16,12,0,2,0,0,0,5,0,0,0,0
63,14,42,4,3,0,0,0,3,5,0,0,0
99,14,77,1,2,0,0,0,10,3,0,1,1
61,18,36,2,3,0,0,0,4,0,0,0,0
24,15,1,0,1,0,0,0,3,0,0,1,0
31,24,0,0,2,0,0,0,2,0,0,0,0
29,20,1,0,1,0,0,0,3,0,0,1,0
37,15,15,0,3,0,0,0,4,0,0,0,0
51,34,10,3,5,0,0,0,3,5,0,0,1
61,28,26,2,2,0,0,0,4,0,0,0,0
66,30,29,7,1,0,0,0,4,0,0,0,0
22,14,1,0,3,0,0,0,3,11,0,0,0
35,28,0,1,2,0,0,0,2,0,0,0,0
44,17,20,0,3,0,0,0,5,0,0,0,0
74,20,46,4,2,0,0,0,4,0,0,1,0
37,25,5,0,2,0,0,0,4,0,0,0,0
55,22,26,1,2,0,0,0,4,0,0,0,0
127,50,19,1,4,0,1,3,4,18,0,1,0
95,12,76,0,3,0,0,0,12,7,0,0,0
45,14,24,0,3,0,0,0,5,8,0,0,0
